seed,citer_corpusid,arxiv_id,year,title,authors,label,notes
ViT,283102647,,2025,Embedding-driven dual-branch approach for accurate breast tumor cellularity classification,"H. M. Balaha, Ali H. Mahmoud, Khadiga M. Ali, M. Ghazal, N. Alghamdi, A. Khalil, A. El-Baz",,
ViT,284860449,2601.10814,2026,SurfSLAM: Sim-to-Real Underwater Stereo Reconstruction For Real-Time SLAM,"Onur Bagoren, Seth Isaacson, Sacchin Sundar, Yung-Ching Sun, Anja Sheppard, Haoyu Ma, Abrar Shariff, Ram Vasudevan, Katherine A. Skinner",,
ViT,281725265,,2025,Recursive SNE: Fast Prototype-Based t-SNE for Large-Scale and Online Data,"Agil Aghasanli, Plamen P. Angelov",,
ViT,285175827,,2026,ASDVIT: Advancing Autism Spectrum Disorder Classification Through Robust Vision Transformers,"Aser Mohamed Ali, M. Salah, Mohamed Nagy, S. El-Sappagh, T. Abuhmed",,
ViT,278454593,,2025,Improvements in dementia classification for brain SPECT volumes using vision transformer and the Brodmann areas,"Hirotaka Wakao, Tomomichi Iizuka, A. Shimizu",,
ViT,271935865,,2024,Morph-Transformer: A Deep Spatiotemporal Framework for Shape Analysis in Longitudinal Neuroimaging,"Yuji Zhao, Boris Gutman",,
QMIX,249267437,2205.11163,2022,Learning to Advise and Learning from Advice in Cooperative Multiagent Reinforcement Learning,"Yue Jin, Shuangqing Wei, Jian Yuan, Xudong Zhang",,
QMIX,268095733,,2023,Decompose a Task into Generalizable Subtasks in Multi-Agent Reinforcement Learning,"Zikang Tian, Rui Chen, Xingui Hu, Ling Li, Rui Zhang, Fan Wu, Shaohui Peng, Jiaming Guo, Zidong Du, Qi Guo, Yunji Chen",,
QMIX,288256139,2605.11880,2026,Adaptive TD-Lambda for Cooperative Multi-agent Reinforcement Learning,"Yueci Deng, Zirui Wang, Yin Zhang",,
QMIX,286614284,,2026,Adaptive Welfare Weighting for Enhanced Fairness Integration in Cooperative Multi-Agent Proximal Policy Optimization,"Bizuhan Abate Tayu, Beakal Gizachew Assefa",,
QMIX,247935456,,2022,Batch Active Learning with Graph Neural Networks via Multi-Agent Deep Reinforcement Learning,"Yuheng Zhang, Hanghang Tong, Yinglong Xia, Yan Zhu, Yuejie Chi, Lei Ying",,
QMIX,248119011,2204.05576,2022,Multi-agent Actor-Critic with Time Dynamical Opponent Model,"Yuan Tian, Klaus-Rudolf Kladny, Qin Wang, Zhiwu Huang, Olga Fink",,
QMIX,274422791,2411.19359,2024,Integrating Transit Signal Priority into Multi-Agent Reinforcement Learning based Traffic Signal Control,"D. Kwesiga, Suyash C. Vishnoi, Angshuman Guin, Michael Hunter",,
QMIX,258121919,,2021,Multi-agent based scheduling method for tandem automated guided vehicle systems,"Ji Chol, Cha Ryong Gun",,
QMIX,257530032,,2022,Enabling Inter-Agent Transfer for Multi-Agent Learning System by Incorporating Role Reversal,"Kuo Li, S. Liu, Qing-Shan Jia",,
QMIX,254823606,2212.08487,2022,Semantics-Empowered Communication: A Tutorial-cum-Survey,"Zhilin Lu, Rongpeng Li, Kun Lu, Xianfu Chen, E. Hossain, Zhifeng Zhao, Honggang Zhang",,
QMIX,239885635,2110.13827,2021,Learning to Simulate Self-Driven Particles System with Coordinated Policy Optimization,"Zhenghao Peng, Quanyi Li, Ka-Ming Hui, Chunxiao Liu, Bolei Zhou",,
